disease,description1,description2,description3,description4,description5,description6,description7,description8,description9,description10
Abdominal aortic aneurysm,"I have arm stiffness or tightness, back mass or lump, bumps on penis, groin mass, painful urination, pallor, restlessness, seizures, sharp abdominal pain, sharp chest pain, shoulder weakness, swelling of scrotum","I have back mass or lump, bumps on penis, groin mass, painful urination, pallor, seizures, sharp abdominal pain, sharp chest pain, swelling of scrotum","I have arm stiffness or tightness, bumps on penis, painful urination, seizures, sharp abdominal pain, sharp chest pain, shoulder weakness, swelling of scrotum","I have arm stiffness or tightness, back mass or lump, bumps on penis, painful urination, seizures, sharp abdominal pain, sharp chest pain, shoulder weakness, swelling of scrotum","I have arm stiffness or tightness, bumps on penis, groin mass, painful urination, pallor, seizures, sharp abdominal pain, sharp chest pain, shoulder weakness, swelling of scrotum","I have arm stiffness or tightness, bumps on penis, painful urination, pallor, restlessness, seizures, sharp abdominal pain, shoulder weakness, swelling of scrotum","I have arm stiffness or tightness, bumps on penis, groin mass, painful urination, pallor, seizures, sharp abdominal pain, sharp chest pain, shoulder weakness","I have arm stiffness or tightness, bumps on penis, groin mass, painful urination, pallor, restlessness, seizures, sharp abdominal pain, swelling of scrotum","I have arm stiffness or tightness, back mass or lump, groin mass, painful urination, restlessness, seizures, sharp abdominal pain, sharp chest pain, shoulder weakness","I have arm stiffness or tightness, back mass or lump, bumps on penis, groin mass, painful urination, sharp abdominal pain, sharp chest pain, swelling of scrotum"
Abdominal hernia,"I have abusing alcohol, frontal headache, groin mass, infant feeding problem, irregular appearing scalp, low urine output, redness in or around nose, seizures, sweating, swelling of scrotum, symptoms of the kidneys, unwanted hair","I have frontal headache, infant feeding problem, irregular appearing scalp, low urine output, redness in or around nose, seizures, sweating, symptoms of the kidneys","I have frontal headache, groin mass, infant feeding problem, irregular appearing scalp, low urine output, seizures, sweating, unwanted hair","I have abusing alcohol, frontal headache, groin mass, infant feeding problem, low urine output, swelling of scrotum, symptoms of the kidneys, unwanted hair","I have abusing alcohol, frontal headache, irregular appearing scalp, seizures, sweating, swelling of scrotum, symptoms of the kidneys, unwanted hair","I have groin mass, infant feeding problem, irregular appearing scalp, redness in or around nose, seizures, swelling of scrotum, symptoms of the kidneys, unwanted hair","I have abusing alcohol, frontal headache, groin mass, infant feeding problem, irregular appearing scalp, low urine output, symptoms of the kidneys, unwanted hair","I have abusing alcohol, frontal headache, groin mass, infant feeding problem, irregular appearing scalp, redness in or around nose, seizures, symptoms of the kidneys","I have abusing alcohol, frontal headache, groin mass, infant feeding problem, low urine output, redness in or around nose, seizures, swelling of scrotum, unwanted hair","I have abusing alcohol, frontal headache, groin mass, irregular appearing scalp, redness in or around nose, sweating, swelling of scrotum, symptoms of the kidneys, unwanted hair"
Abscess of nose,"I have abnormal appearing tongue, constipation, coryza, cross-eyed, dry or flaky scalp, feet turned in, hand or finger weakness, irregular heartbeat, nailbiting, side pain, sore in nose, vaginal redness","I have abnormal appearing tongue, constipation, coryza, dry or flaky scalp, hand or finger weakness, nailbiting, side pain, vaginal redness","I have constipation, coryza, cross-eyed, dry or flaky scalp, hand or finger weakness, nailbiting, sore in nose, vaginal redness","I have constipation, coryza, cross-eyed, feet turned in, hand or finger weakness, nailbiting, side pain, sore in nose","I have abnormal appearing tongue, constipation, coryza, cross-eyed, dry or flaky scalp, feet turned in, hand or finger weakness, side pain, sore in nose","I have abnormal appearing tongue, constipation, coryza, cross-eyed, feet turned in, hand or finger weakness, irregular heartbeat, nailbiting","I have constipation, coryza, dry or flaky scalp, feet turned in, hand or finger weakness, irregular heartbeat, nailbiting, vaginal redness","I have constipation, coryza, cross-eyed, feet turned in, hand or finger weakness, nailbiting, side pain, sore in nose, vaginal redness","I have abnormal appearing tongue, constipation, cross-eyed, feet turned in, hand or finger weakness, irregular heartbeat, side pain, sore in nose","I have constipation, coryza, dry or flaky scalp, feet turned in, irregular heartbeat, side pain, sore in nose, vaginal redness"
Abscess of the lung,"I have back mass or lump, coryza, depression, double vision, excessive appetite, hand or finger weakness, heavy menstrual flow, itchy ear(s), sharp abdominal pain, sharp chest pain, vaginal redness, wrist swelling","I have coryza, double vision, excessive appetite, hand or finger weakness, heavy menstrual flow, itchy ear(s), sharp abdominal pain, vaginal redness","I have depression, excessive appetite, hand or finger weakness, itchy ear(s), sharp abdominal pain, sharp chest pain, vaginal redness, wrist swelling","I have coryza, double vision, excessive appetite, heavy menstrual flow, itchy ear(s), sharp chest pain, vaginal redness, wrist swelling","I have back mass or lump, coryza, depression, double vision, excessive appetite, heavy menstrual flow, itchy ear(s), sharp abdominal pain, vaginal redness","I have back mass or lump, coryza, excessive appetite, hand or finger weakness, heavy menstrual flow, itchy ear(s), sharp chest pain, vaginal redness","I have back mass or lump, coryza, depression, double vision, hand or finger weakness, heavy menstrual flow, itchy ear(s), sharp abdominal pain, sharp chest pain","I have back mass or lump, coryza, depression, excessive appetite, hand or finger weakness, itchy ear(s), sharp abdominal pain, sharp chest pain, vaginal redness","I have back mass or lump, coryza, depression, double vision, excessive appetite, hand or finger weakness, vaginal redness, wrist swelling","I have coryza, double vision, hand or finger weakness, heavy menstrual flow, itchy ear(s), sharp abdominal pain, sharp chest pain, wrist swelling"
Abscess of the pharynx,"I have acne or pimples, coryza, cough, difficulty eating, dry or flaky scalp, feeling hot and cold, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, sore in nose, throat redness","I have acne or pimples, coryza, difficulty eating, dry or flaky scalp, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, sore in nose, throat redness","I have acne or pimples, coryza, cough, dry or flaky scalp, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain","I have coryza, cough, difficulty eating, dry or flaky scalp, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, throat redness","I have coryza, difficulty eating, dry or flaky scalp, feeling hot and cold, hand or finger weakness, nailbiting, sharp abdominal pain, throat redness","I have acne or pimples, coryza, cough, dry or flaky scalp, feeling hot and cold, feet turned in, sharp abdominal pain, sore in nose, throat redness","I have acne or pimples, coryza, cough, difficulty eating, dry or flaky scalp, feeling hot and cold, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain","I have acne or pimples, coryza, cough, difficulty eating, dry or flaky scalp, hand or finger weakness, nailbiting, sharp abdominal pain, sore in nose, throat redness","I have acne or pimples, coryza, cough, feeling hot and cold, feet turned in, hand or finger weakness, sharp abdominal pain, sore in nose","I have acne or pimples, coryza, cough, difficulty eating, feeling hot and cold, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, throat redness"
Acanthosis nigricans,"I have ache all over, acne or pimples, anxiety and nervousness, fluid in ear, infant spitting up, pain of the anus, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, unusual color or odor to urine, vulvar sore, weakness","I have anxiety and nervousness, fluid in ear, infant spitting up, pain of the anus, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, unusual color or odor to urine, vulvar sore, weakness","I have acne or pimples, fluid in ear, infant spitting up, pain of the anus, skin dryness, peeling, scaliness, or roughness, skin lesion, unusual color or odor to urine, vulvar sore","I have acne or pimples, fluid in ear, infant spitting up, pain of the anus, skin dryness, peeling, scaliness, or roughness, skin lesion, unusual color or odor to urine, vulvar sore, weakness","I have ache all over, acne or pimples, anxiety and nervousness, infant spitting up, skin irritation, skin lesion, unusual color or odor to urine, vulvar sore, weakness","I have fluid in ear, infant spitting up, pain of the anus, skin dryness, peeling, scaliness, or roughness, skin irritation, unusual color or odor to urine, vulvar sore, weakness","I have ache all over, acne or pimples, fluid in ear, infant spitting up, skin irritation, skin lesion, unusual color or odor to urine, vulvar sore","I have ache all over, acne or pimples, anxiety and nervousness, fluid in ear, skin dryness, peeling, scaliness, or roughness, skin lesion, unusual color or odor to urine, vulvar sore, weakness","I have acne or pimples, anxiety and nervousness, pain of the anus, skin irritation, skin lesion, unusual color or odor to urine, vulvar sore, weakness","I have ache all over, acne or pimples, anxiety and nervousness, fluid in ear, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, unusual color or odor to urine, weakness"
Acariasis,"I have bones are painful, cramps and spasms, elbow swelling, elbow weakness, excessive appetite, feeling hot, itching of scrotum, skin irritation, skin pain, sweating, vaginal redness, wrist swelling","I have bones are painful, cramps and spasms, elbow swelling, elbow weakness, feeling hot, itching of scrotum, skin irritation, skin pain, vaginal redness, wrist swelling","I have bones are painful, cramps and spasms, elbow swelling, elbow weakness, excessive appetite, feeling hot, skin irritation, skin pain","I have cramps and spasms, elbow swelling, elbow weakness, feeling hot, itching of scrotum, skin irritation, skin pain, sweating, vaginal redness, wrist swelling","I have bones are painful, cramps and spasms, elbow swelling, elbow weakness, feeling hot, itching of scrotum, skin irritation, sweating, wrist swelling","I have bones are painful, cramps and spasms, elbow weakness, feeling hot, itching of scrotum, skin irritation, skin pain, wrist swelling","I have bones are painful, elbow swelling, elbow weakness, excessive appetite, feeling hot, skin pain, sweating, vaginal redness","I have bones are painful, elbow weakness, excessive appetite, feeling hot, itching of scrotum, skin pain, sweating, vaginal redness","I have bones are painful, cramps and spasms, elbow weakness, feeling hot, itching of scrotum, skin irritation, skin pain, sweating","I have bones are painful, cramps and spasms, elbow swelling, elbow weakness, feeling hot, skin irritation, vaginal redness, wrist swelling"
Achalasia,"I have back mass or lump, changes in stool appearance, coryza, coughing up sputum, difficulty eating, hip weakness, hot flashes, lower body pain, redness in or around nose, retention of urine, sharp abdominal pain, thirst","I have back mass or lump, coryza, coughing up sputum, difficulty eating, hip weakness, redness in or around nose, retention of urine, sharp abdominal pain","I have back mass or lump, changes in stool appearance, coughing up sputum, difficulty eating, lower body pain, redness in or around nose, retention of urine, sharp abdominal pain, thirst","I have changes in stool appearance, coughing up sputum, difficulty eating, hot flashes, lower body pain, redness in or around nose, retention of urine, sharp abdominal pain, thirst","I have back mass or lump, changes in stool appearance, coryza, coughing up sputum, hot flashes, lower body pain, redness in or around nose, retention of urine, sharp abdominal pain, thirst","I have back mass or lump, coryza, coughing up sputum, hip weakness, lower body pain, redness in or around nose, sharp abdominal pain, thirst","I have back mass or lump, changes in stool appearance, coryza, coughing up sputum, difficulty eating, redness in or around nose, retention of urine, sharp abdominal pain","I have back mass or lump, changes in stool appearance, coryza, coughing up sputum, difficulty eating, hip weakness, hot flashes, sharp abdominal pain","I have back mass or lump, changes in stool appearance, coryza, coughing up sputum, difficulty eating, hot flashes, redness in or around nose, retention of urine","I have back mass or lump, changes in stool appearance, coryza, coughing up sputum, hip weakness, hot flashes, lower body pain, redness in or around nose, retention of urine"
Acne,"I have abdominal distention, ache all over, irregular appearing nails, lip swelling, nightmares, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin lesion, skin pain, skin rash, tongue pain, vulvar sore","I have abdominal distention, ache all over, irregular appearing nails, lip swelling, nightmares, skin dryness, peeling, scaliness, or roughness, skin lesion, skin pain, vulvar sore","I have abdominal distention, irregular appearing nails, lip swelling, nightmares, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin lesion, skin pain, tongue pain","I have abdominal distention, irregular appearing nails, lip swelling, nightmares, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin rash, vulvar sore","I have ache all over, irregular appearing nails, nightmares, sinus congestion, skin lesion, skin pain, skin rash, vulvar sore","I have irregular appearing nails, lip swelling, nightmares, skin dryness, peeling, scaliness, or roughness, skin lesion, skin pain, skin rash, vulvar sore","I have abdominal distention, ache all over, lip swelling, nightmares, skin dryness, peeling, scaliness, or roughness, skin lesion, skin pain, skin rash, tongue pain, vulvar sore","I have abdominal distention, ache all over, nightmares, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin lesion, skin rash, tongue pain, vulvar sore","I have abdominal distention, irregular appearing nails, lip swelling, nightmares, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin rash, tongue pain, vulvar sore","I have abdominal distention, irregular appearing nails, nightmares, sinus congestion, skin pain, skin rash, tongue pain, vulvar sore"
Actinic keratosis,"I have abdominal distention, irregular appearing nails, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin pain, skin rash, symptoms of prostate, vulvar sore","I have itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin rash, vulvar sore","I have abdominal distention, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, symptoms of prostate, vulvar sore","I have abdominal distention, irregular appearing nails, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin pain, skin rash, symptoms of prostate","I have abdominal distention, irregular appearing nails, skin irritation, skin lesion, skin pain, skin rash, symptoms of prostate, vulvar sore","I have abdominal distention, irregular appearing nails, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin rash, symptoms of prostate, vulvar sore","I have abdominal distention, irregular appearing nails, itching of scrotum, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, symptoms of prostate, vulvar sore","I have abdominal distention, irregular appearing nails, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin pain, symptoms of prostate","I have irregular appearing nails, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin rash, symptoms of prostate, vulvar sore","I have abdominal distention, irregular appearing nails, itching of scrotum, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, skin pain, symptoms of prostate"
