prognosis,symptoms_description
Anemia of chronic disease,"I have chest tightness, constipation, diaper rash, disturbance of smell or taste, elbow weakness, fainting, feeling hot and cold, itching of scrotum, low back swelling, vaginal redness, warts, weakness"
Anemia of chronic disease,"I have diaper rash, elbow weakness, fainting, feeling hot and cold, itching of scrotum, vaginal redness, warts, weakness"
Anemia of chronic disease,"I have disturbance of smell or taste, elbow weakness, fainting, feeling hot and cold, itching of scrotum, low back swelling, vaginal redness, weakness"
Anemia of chronic disease,"I have chest tightness, disturbance of smell or taste, feeling hot and cold, itching of scrotum, low back swelling, vaginal redness, warts, weakness"
Anemia of chronic disease,"I have constipation, disturbance of smell or taste, elbow weakness, fainting, feeling hot and cold, itching of scrotum, low back swelling, warts"
Anemia of chronic disease,"I have chest tightness, constipation, diaper rash, elbow weakness, fainting, itching of scrotum, warts, weakness"
Anemia of chronic disease,"I have chest tightness, constipation, diaper rash, disturbance of smell or taste, elbow weakness, fainting, feeling hot and cold, itching of scrotum, low back swelling, vaginal redness"
Anemia of chronic disease,"I have diaper rash, disturbance of smell or taste, elbow weakness, feeling hot and cold, itching of scrotum, low back swelling, vaginal redness, warts"
Anemia of chronic disease,"I have chest tightness, constipation, disturbance of smell or taste, elbow weakness, feeling hot and cold, itching of scrotum, warts, weakness"
Anemia of chronic disease,"I have chest tightness, diaper rash, feeling hot and cold, itching of scrotum, low back swelling, vaginal redness, warts, weakness"
Dysthymic disorder,"I have ankle weakness, antisocial behavior, delusions or hallucinations, depression, discharge in stools, emotional symptoms, fatigue, infrequent menstruation, loss of sensation, low back weakness, sleepwalking, symptoms of the scrotum and testes"
Dysthymic disorder,"I have antisocial behavior, delusions or hallucinations, depression, fatigue, infrequent menstruation, loss of sensation, low back weakness, sleepwalking, symptoms of the scrotum and testes"
Dysthymic disorder,"I have ankle weakness, antisocial behavior, depression, emotional symptoms, fatigue, low back weakness, sleepwalking, symptoms of the scrotum and testes"
Dysthymic disorder,"I have ankle weakness, delusions or hallucinations, depression, discharge in stools, fatigue, loss of sensation, sleepwalking, symptoms of the scrotum and testes"
Dysthymic disorder,"I have ankle weakness, antisocial behavior, delusions or hallucinations, depression, emotional symptoms, fatigue, loss of sensation, sleepwalking, symptoms of the scrotum and testes"
Dysthymic disorder,"I have ankle weakness, antisocial behavior, depression, discharge in stools, emotional symptoms, fatigue, infrequent menstruation, loss of sensation, symptoms of the scrotum and testes"
Dysthymic disorder,"I have ankle weakness, discharge in stools, emotional symptoms, fatigue, infrequent menstruation, low back weakness, sleepwalking, symptoms of the scrotum and testes"
Dysthymic disorder,"I have ankle weakness, antisocial behavior, delusions or hallucinations, depression, discharge in stools, emotional symptoms, loss of sensation, low back weakness, sleepwalking"
Dysthymic disorder,"I have antisocial behavior, delusions or hallucinations, discharge in stools, emotional symptoms, fatigue, loss of sensation, sleepwalking, symptoms of the scrotum and testes"
Dysthymic disorder,"I have ankle weakness, depression, discharge in stools, emotional symptoms, fatigue, loss of sensation, sleepwalking, symptoms of the scrotum and testes"
Scarlet fever,"I have constipation, coryza, difficulty eating, feet turned in, groin mass, mouth dryness, penile discharge, side pain, skin pain, skin rash, sore in nose, throat redness"
Scarlet fever,"I have coryza, difficulty eating, feet turned in, side pain, skin pain, skin rash, sore in nose, throat redness"
Scarlet fever,"I have coryza, difficulty eating, groin mass, penile discharge, side pain, skin pain, skin rash, sore in nose"
Scarlet fever,"I have constipation, coryza, feet turned in, groin mass, mouth dryness, penile discharge, skin rash, sore in nose, throat redness"
Scarlet fever,"I have constipation, coryza, difficulty eating, feet turned in, groin mass, penile discharge, skin pain, sore in nose"
Scarlet fever,"I have coryza, difficulty eating, feet turned in, mouth dryness, penile discharge, skin pain, sore in nose, throat redness"
Scarlet fever,"I have constipation, feet turned in, groin mass, mouth dryness, side pain, skin rash, sore in nose, throat redness"
Scarlet fever,"I have constipation, coryza, difficulty eating, mouth dryness, penile discharge, skin pain, skin rash, sore in nose, throat redness"
