Step,Training Loss
1,4.3544
2,3.9356
3,3.9184
4,3.8368
5,3.6607
6,3.6396
7,3.5072
8,3.3631
9,3.023
10,2.9576
11,2.6899
12,2.5557
13,2.4689
14,2.5343
15,2.3114
16,2.4522
17,2.1754
18,2.2207
19,2.0955
20,2.0279
21,2.0701
22,2.068
23,2.0485
24,2.024
25,1.7926
26,1.7392
27,1.8692
28,1.8447
29,1.7842
30,1.768
31,1.8088
32,1.6875
33,1.779
34,1.6755
35,1.7187
36,1.6586
37,1.5404
38,1.5393
39,1.627
40,1.5724
41,1.484
42,1.4407
43,1.3496
44,1.651
45,1.4961
46,1.5584
47,1.3102
48,1.4376
49,1.5862
50,1.3852
51,1.3882
52,1.296
53,1.5199
54,1.4655
55,1.4011
56,1.1993
57,1.5348
58,1.3624
59,1.2396
60,1.2142
61,1.3964
62,1.3677
63,1.3057
64,1.2586
65,1.3193
66,1.3439
67,1.1862
68,1.2221
69,1.173
70,1.1237
71,1.2531
72,1.261
73,1.129
74,1.2168
75,1.05
76,1.1116
77,1.0592
78,1.3516
79,1.3169
80,1.2703
81,1.1997
82,1.1563
83,1.0808
84,0.966
85,1.1845
86,1.4122
87,1.1882
88,1.1712
89,1.2232
90,1.3732
91,1.3016
92,0.9887
93,1.0523
94,1.0716
95,1.1869
96,1.0649
97,1.1029
98,1.0931
99,1.1652
100,1.0759
